DATAFLOW,LAST UPDATE,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2019-S2,0.1349,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S1,0.1358,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2020-S2,0.1384,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S1,0.1394,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2021-S2,0.1448,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S1,0.1579,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2022-S2,0.2090,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S1,0.2691,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2023-S2,0.2990,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Austria,2024-S1,0.2946,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2019-S2,0.1954,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2020-S1,0.1872,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2020-S2,0.1798,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2021-S1,0.1767,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2021-S2,0.2015,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2022-S1,0.2622,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2022-S2,0.3791,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2023-S1,0.3592,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2023-S2,0.2793,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Belgium,2024-S1,0.2405,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2019-S2,0.0798,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2020-S1,0.0831,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2020-S2,0.0818,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2021-S1,0.0853,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2021-S2,0.0909,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2022-S1,0.0911,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2022-S2,0.0956,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2023-S1,0.0948,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2023-S2,0.0993,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Bulgaria,2024-S1,0.0989,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2019-S2,0.1576,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2020-S1,0.1497,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2020-S2,0.1184,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2021-S1,0.1276,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2021-S2,0.1451,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2022-S1,0.1693,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2022-S2,0.2551,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2023-S1,0.2312,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2023-S2,0.2099,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Cyprus,2024-S1,0.2106,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2019-S2,0.1255,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2020-S1,0.1321,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2020-S2,0.1283,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2021-S1,0.1284,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2021-S2,0.1498,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2022-S1,0.1879,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2022-S2,0.2077,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2023-S1,0.2624,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2023-S2,0.2582,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Czechia,2024-S1,0.2574,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2019-S2,0.1321,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2020-S1,0.1430,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2020-S2,0.1451,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2021-S1,0.1562,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2021-S2,0.1596,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2022-S1,0.1899,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2022-S2,0.2333,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2023-S1,0.2973,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2023-S2,0.2882,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Germany,2024-S1,0.2806,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2019-S2,0.1042,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2020-S1,0.0951,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2020-S2,0.0908,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2021-S1,0.1040,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2021-S2,0.1485,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2022-S1,0.2371,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2022-S2,0.3636,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2023-S1,0.2976,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2023-S2,0.1846,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Denmark,2024-S1,0.1883,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2019-S2,0.1027,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2020-S1,0.0882,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2020-S2,0.0953,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2021-S1,0.0980,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2021-S2,0.1493,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2022-S1,0.1590,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2022-S2,0.2085,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2023-S1,0.1666,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2023-S2,0.1826,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Estonia,2024-S1,0.1769,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2019-S2,0.1189,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2020-S1,0.1285,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2020-S2,0.1278,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2021-S1,0.1305,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2021-S2,0.1588,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2022-S1,0.2950,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2022-S2,0.4556,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2023-S1,0.1876,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2023-S2,0.1905,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Greece,2024-S1,0.1827,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2019-S2,0.1287,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2020-S1,0.1178,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2020-S2,0.1260,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2021-S1,0.1358,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2021-S2,0.1878,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2022-S1,0.2579,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2022-S2,0.2966,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2023-S1,0.2165,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2023-S2,0.2068,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Spain,2024-S1,0.1841,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Finland,2019-S2,0.1201,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Finland,2020-S1,0.1178,
ESTAT:NRG_PC_204(1.0),27/10/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,Finland,2020-S2,0.1205,
